"Interval","Taxon","NISP"
280,"Pipistrellus_subflavus_NISP",0
285,"Pipistrellus_subflavus_NISP",0
290,"Pipistrellus_subflavus_NISP",0
295,"Pipistrellus_subflavus_NISP",0
300,"Pipistrellus_subflavus_NISP",0
305,"Pipistrellus_subflavus_NISP",1
310,"Pipistrellus_subflavus_NISP",2
315,"Pipistrellus_subflavus_NISP",0
320,"Pipistrellus_subflavus_NISP",0
325,"Pipistrellus_subflavus_NISP",0
330,"Pipistrellus_subflavus_NISP",0
335,"Pipistrellus_subflavus_NISP",0
340,"Pipistrellus_subflavus_NISP",0
345,"Pipistrellus_subflavus_NISP",0
350,"Pipistrellus_subflavus_NISP",0
0,"Gracile_Myotis_NISP",0
5,"Gracile_Myotis_NISP",0
10,"Gracile_Myotis_NISP",0
15,"Gracile_Myotis_NISP",0
20,"Gracile_Myotis_NISP",0
25,"Gracile_Myotis_NISP",0
30,"Gracile_Myotis_NISP",0
35,"Gracile_Myotis_NISP",0
40,"Gracile_Myotis_NISP",0
45,"Gracile_Myotis_NISP",0
50,"Gracile_Myotis_NISP",0
55,"Gracile_Myotis_NISP",0
60,"Gracile_Myotis_NISP",0
65,"Gracile_Myotis_NISP",0
70,"Gracile_Myotis_NISP",0
75,"Gracile_Myotis_NISP",0
80,"Gracile_Myotis_NISP",0
85,"Gracile_Myotis_NISP",0
90,"Gracile_Myotis_NISP",0
95,"Gracile_Myotis_NISP",0
100,"Gracile_Myotis_NISP",0
105,"Gracile_Myotis_NISP",0
110,"Gracile_Myotis_NISP",0
115,"Gracile_Myotis_NISP",0
120,"Gracile_Myotis_NISP",0
125,"Gracile_Myotis_NISP",0
130,"Gracile_Myotis_NISP",0
135,"Gracile_Myotis_NISP",0
140,"Gracile_Myotis_NISP",0
145,"Gracile_Myotis_NISP",0
150,"Gracile_Myotis_NISP",0
155,"Gracile_Myotis_NISP",0
160,"Gracile_Myotis_NISP",0
165,"Gracile_Myotis_NISP",0
170,"Gracile_Myotis_NISP",0
175,"Gracile_Myotis_NISP",1
180,"Gracile_Myotis_NISP",0
185,"Gracile_Myotis_NISP",0
190,"Gracile_Myotis_NISP",0
195,"Gracile_Myotis_NISP",1
200,"Gracile_Myotis_NISP",0
205,"Gracile_Myotis_NISP",1
210,"Gracile_Myotis_NISP",0
215,"Gracile_Myotis_NISP",0
220,"Gracile_Myotis_NISP",2
225,"Gracile_Myotis_NISP",0
230,"Gracile_Myotis_NISP",3
235,"Gracile_Myotis_NISP",3
240,"Gracile_Myotis_NISP",2
245,"Gracile_Myotis_NISP",1
250,"Gracile_Myotis_NISP",3
255,"Gracile_Myotis_NISP",1
260,"Gracile_Myotis_NISP",0
265,"Gracile_Myotis_NISP",2
270,"Gracile_Myotis_NISP",1
275,"Gracile_Myotis_NISP",0
280,"Gracile_Myotis_NISP",0
285,"Gracile_Myotis_NISP",2
290,"Gracile_Myotis_NISP",0
295,"Gracile_Myotis_NISP",0
300,"Gracile_Myotis_NISP",0
305,"Gracile_Myotis_NISP",0
310,"Gracile_Myotis_NISP",1
315,"Gracile_Myotis_NISP",0
320,"Gracile_Myotis_NISP",0
325,"Gracile_Myotis_NISP",0
330,"Gracile_Myotis_NISP",0
335,"Gracile_Myotis_NISP",0
340,"Gracile_Myotis_NISP",0
345,"Gracile_Myotis_NISP",0
350,"Gracile_Myotis_NISP",2
0,"Robust_Myotis_NISP",0
5,"Robust_Myotis_NISP",0
10,"Robust_Myotis_NISP",0
15,"Robust_Myotis_NISP",0
20,"Robust_Myotis_NISP",0
25,"Robust_Myotis_NISP",0
30,"Robust_Myotis_NISP",0
35,"Robust_Myotis_NISP",0
40,"Robust_Myotis_NISP",0
45,"Robust_Myotis_NISP",0
50,"Robust_Myotis_NISP",0
55,"Robust_Myotis_NISP",0
60,"Robust_Myotis_NISP",0
65,"Robust_Myotis_NISP",0
70,"Robust_Myotis_NISP",0
75,"Robust_Myotis_NISP",0
80,"Robust_Myotis_NISP",0
85,"Robust_Myotis_NISP",0
90,"Robust_Myotis_NISP",0
95,"Robust_Myotis_NISP",0
100,"Robust_Myotis_NISP",0
105,"Robust_Myotis_NISP",0
110,"Robust_Myotis_NISP",0
115,"Robust_Myotis_NISP",0
120,"Robust_Myotis_NISP",0
125,"Robust_Myotis_NISP",0
130,"Robust_Myotis_NISP",0
135,"Robust_Myotis_NISP",0
140,"Robust_Myotis_NISP",0
145,"Robust_Myotis_NISP",0
150,"Robust_Myotis_NISP",1
155,"Robust_Myotis_NISP",1
160,"Robust_Myotis_NISP",1
165,"Robust_Myotis_NISP",0
170,"Robust_Myotis_NISP",0
